Human Gene ID	Human Protein ID	Human Gene Name	Zfish Gene ID	ZfishProtein ID	Zfish Gene Name
ENSG00000003056	ENSP00000000412	M6PR	ENSDARG00000018432	ENSDARP00000018076	m6pr
ENSG00000003509	ENSP00000002125	NDUFAF7	ENSDARG00000033134	ENSDARP00000067396	ndufaf7
ENSG00000002587	ENSP00000002596	HS3ST1	ENSDARG00000035578	ENSDARP00000051585	hs3st1l2
ENSG00000006451	ENSP00000005257	RALA	ENSDARG00000045463	ENSDARP00000066862	ralaa
ENSG00000006116	ENSP00000005284	CACNG3	ENSDARG00000076401	ENSDARP00000098491	CACNG3
ENSG00000005175	ENSP00000005386	RPAP3	ENSDARG00000087962	ENSDARP00000107727	rpap3
ENSG00000005020	ENSP00000005587	SKAP2	ENSDARG00000000906	ENSDARP00000052659	skap2
ENSG00000005073	ENSP00000006015	HOXA11	ENSDARG00000007009	ENSDARP00000005174	hoxa11b
ENSG00000005448	ENSP00000006526	WDR54	ENSDARG00000010248	ENSDARP00000019506	wdr54
ENSG00000005486	ENSP00000006777	RHBDD2	ENSDARG00000092463	ENSDARP00000113874	
ENSG00000007520	ENSP00000007390	TSR3	ENSDARG00000038567	ENSDARP00000056302	tsr3
ENSG00000004779	ENSP00000007516	NDUFAB1	ENSDARG00000014915	ENSDARP00000012558	ndufab1b
ENSG00000010626	ENSP00000007969	LRRC23	ENSDARG00000006174	ENSDARP00000004624	lrrc23
ENSG00000008197	ENSP00000008391	TFAP2D	ENSDARG00000023272	ENSDARP00000028710	tfap2d
ENSG00000010270	ENSP00000009041	STARD3NL	ENSDARG00000045421	ENSDARP00000066788	stard3nl
ENSG00000008118	ENSP00000009105	CAMK1G	ENSDARG00000008788	ENSDARP00000011264	camk1gb
ENSG00000019582	ENSP00000009530	CD74	ENSDARG00000009087	ENSDARP00000002547	cd74a
ENSG00000011485	ENSP00000012443	PPP5C	ENSDARG00000034313	ENSDARP00000106662	ppp5c
ENSG00000012061	ENSP00000013807	ERCC1	ENSDARG00000031680	ENSDARP00000041750	ercc1
ENSG00000017797	ENSP00000019317	RALBP1	ENSDARG00000078653	ENSDARP00000099701	ralbp1
ENSG00000019505	ENSP00000020926	SYT13	ENSDARG00000012306	ENSDARP00000013748	syt13
ENSG00000019549	ENSP00000020945	SNAI2	ENSDARG00000040046	ENSDARP00000058570	snai2
ENSG00000022277	ENSP00000023939	RTF2	ENSDARG00000040607	ENSDARP00000059437	rtf2
ENSG00000023287	ENSP00000025008	RB1CC1	ENSDARG00000076559	ENSDARP00000097746	RB1CC1
ENSG00000023516	ENSP00000025301	AKAP11	ENSDARG00000075435	ENSDARP00000124874	AKAP11
ENSG00000023734	ENSP00000025399	STRAP	ENSDARG00000007405	ENSDARP00000109783	strap
ENSG00000007541	ENSP00000026218	PIGQ	ENSDARG00000038097	ENSDARP00000114962	pigq
ENSG00000079112	ENSP00000027335	CDH17	ENSDARG00000005112	ENSDARP00000042894	cdh17
